 	Label	Area	Mean	StdDev	Min	Max	X	Y	Circ.	IntDen	Median	RawIntDen	Ch	Slice	AR	Round	Solidity
39	20241216_dkD_DAPI_EGFP_Klf5_Nr5a2_forrep3.lif-Position010-1.tif:nucleolus_0017-0002-0652:c:2/4 z:17/50 - Lightning 001/Mark_and_Find 001/Position010	14.570	8.433	16.350	0	127	93.613	92.392	0.622	122.866	1	6139.000	2	17	1.697	0.589	0.881
40	20241216_dkD_DAPI_EGFP_Klf5_Nr5a2_forrep3.lif-Position010-1.tif:nucleolus_0018-0001-0360:c:2/4 z:18/50 - Lightning 001/Mark_and_Find 001/Position010	6.825	11.915	18.648	0	135	94.985	50.888	0.847	81.317	2	4063.000	2	18	1.127	0.887	0.927
41	20241216_dkD_DAPI_EGFP_Klf5_Nr5a2_forrep3.lif-Position010-1.tif:nucleolus_0018-0002-0414:c:2/4 z:18/50 - Lightning 001/Mark_and_Find 001/Position010	15.391	7.424	16.357	0	182	73.020	58.728	0.858	114.260	1	5709.000	2	18	1.314	0.761	0.944
42	20241216_dkD_DAPI_EGFP_Klf5_Nr5a2_forrep3.lif-Position010-1.tif:nucleolus_0019-0001-0359:c:2/4 z:19/50 - Lightning 001/Mark_and_Find 001/Position010	7.785	7.812	13.961	0	66	95.272	50.912	0.772	60.822	1	3039.000	2	19	1.701	0.588	0.907
43	20241216_dkD_DAPI_EGFP_Klf5_Nr5a2_forrep3.lif-Position010-1.tif:nucleolus_0019-0002-0416:c:2/4 z:19/50 - Lightning 001/Mark_and_Find 001/Position010	11.708	7.699	14.385	0	94	72.994	58.842	0.883	90.143	2	4504.000	2	19	1.324	0.756	0.954
44	20241216_dkD_DAPI_EGFP_Klf5_Nr5a2_forrep3.lif-Position010-1.tif:nucleolus_0020-0001-0414:c:2/4 z:20/50 - Lightning 001/Mark_and_Find 001/Position010	8.226	6.304	13.922	0	126	72.726	58.617	0.865	51.856	1	2591.000	2	20	1.256	0.796	0.938
45	20241216_dkD_DAPI_EGFP_Klf5_Nr5a2_forrep3.lif-Position010-1.tif:nucleolus_0020-0002-0418:c:2/4 z:20/50 - Lightning 001/Mark_and_Find 001/Position010	4.123	20.277	27.069	0	140	76.744	59.084	0.787	83.598	8	4177.000	2	20	1.357	0.737	0.900
46	20241216_dkD_DAPI_EGFP_Klf5_Nr5a2_forrep3.lif-Position010-1.tif:nucleolus_0021-0001-0411:c:2/4 z:21/50 - Lightning 001/Mark_and_Find 001/Position010	5.204	8.996	17.935	0	156	72.703	58.246	0.909	46.813	1	2339.000	2	21	1.202	0.832	0.934
47	20241216_dkD_DAPI_EGFP_Klf5_Nr5a2_forrep3.lif-Position010-1.tif:nucleolus_0021-0002-0582:c:2/4 z:21/50 - Lightning 001/Mark_and_Find 001/Position010	8.886	11.986	20.137	0	124	67.215	82.422	0.833	106.514	1	5322.000	2	21	1.202	0.832	0.919
48	20241216_dkD_DAPI_EGFP_Klf5_Nr5a2_forrep3.lif-Position010-1.tif:nucleolus_0022-0001-0581:c:2/4 z:22/50 - Lightning 001/Mark_and_Find 001/Position010	11.688	8.635	15.498	0	92	67.023	82.141	0.904	100.930	2	5043.000	2	22	1.087	0.920	0.954
